kierunek,uczelnia,obszarNauk,inżynierski,licencjacki,jezykWykladowy,elektrycznosc,chemia,programowanie,prawo,rysunek,urzedy,budowy,mechanikaMaszyn,biologia,ekologia,energetyka,fizyka,mapy,przemysł,bank,zarządzanie,funMundurowy,historia,wykopaliska,dzienikarstwo,język,religia,dzieloSztuki,polityka,zachowaniaCzlowieka,StrSpoleczenstwa,pomocLudziom,nauczyciel,dokumenty
zarządzanie i inżynieria produkcji,Politechnika Warszawska,ścisły,1,0,polski,0,0,0,2,0,2,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,2,2,0,2
aerospace engineering,Politechnika Warszawska,ścisły,1,0,angielski,0,0,0,0,1,0,0,1,0,0,0,1,0,2,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0
computer science,Politechnika Warszawska,ścisły,1,0,angielski,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0
civil engineering,Politechnika Warszawska,ścisły,1,0,angielski,0,2,0,0,1,2,1,0,0,0,0,2,0,2,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0
Administracja,UKSW,humanistyczny,0,1,polski,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2
Archeologia,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
Archiwistyka i zarządzanie dokumentacją,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
Bezpieczeństwo wewnętrzne,UKSW,humanistyczny,0,1,polski,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1
Biologia,UKSW,ścisły,0,1,polski,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Chemia,UKSW,ścisły,0,1,polski,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Człowiek w cyberprzestrzeni,UKSW,humanistyczny,0,1,polski,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Dzienikarstwo i komunikacja społeczna,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Ekonomia,UKSW,ekonomiczny,0,1,polski,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Europejstyka,UKSW,humanistyczny,0,1,polski,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Filologia,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Filozofia,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Fizyka,UKSW,ścisły,0,1,polski,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Historia,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
Historia sztuki,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Informatyka,UKSW,ścisły,0,1,polski,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Inżynieria środowiska,UKSW,ścisły,1,0,polski,0,1,0,0,2,2,2,0,2,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kulturoznawstwo,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Matematyka,UKSW,ścisły,0,1,polski,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Muzeologia,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Nauka o rodzinie,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
Ochrona dóbr kultury i środowiska,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
Ochrona środowiska,UKSW,ścisły,0,1,polski,0,2,0,0,0,2,2,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Pedagogika,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
Politologia,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Praca socjalna,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0
Prawo,UKSW,humanistyczny,0,1,polski,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Prawo kanoniczne,UKSW,humanistyczny,0,1,polski,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
Psychologia,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Socjologia,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Teologia,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
Zarządzanie dziedzictwem kultrowym,UKSW,humanistyczny,0,1,polski,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
